,collection_date,country,host_species,reassortant,state,strain_name,subtype
1631,2011-09-25,USA,Mallard/Avian,False,Wisconsin,A/mallard/Wisconsin/11OS3092/2011,H3N2
1632,2008-11-20,,Mallard/Avian,False,Sweden,A/mallard/Sweden/80195/2008,H4N6
1633,2007-08-03,USA,Blue-Winged Teal/Avian,False,Minnesota,A/blue-winged teal/Minnesota/Sg-00040/2007,H4N6
1634,2009-06-24,USA,Mallard/Avian,False,Interior Alaska,A/mallard/Interior Alaska/9BM1585R1/2009,H12N5
1635,2010-08-07,USA,Mallard/Avian,False,Interior Alaska,A/mallard/Interior Alaska/10BM09528R0/2010,H7N3
1636,2009-09-02,USA,Northern Shoveler/Avian,False,Interior Alaska,A/northern shoveler/Interior Alaska/9BM12332R0/2009,H3N8
1637,2008-11-18,,Mallard/Avian,False,Sweden,A/mallard/Sweden/80082/2008,H4N6
1638,2009-08-10,USA,Northern Pintail/Avian,False,Interior Alaska,A/northern pintail/Interior Alaska/9BM8553R0/2009,H3N8
1639,2009-05-30,USA,Ruddy Turnstone/Avian,False,New Jersey,A/ruddy turnstone/New Jersey/AI09-1336/2009,H10N7
1640,2007-08-03,USA,Blue-Winged Teal/Avian,False,Minnesota,A/blue-winged teal/Minnesota/Sg-00034/2007,H4N6
1641,2010-01-20,Georgia,Black-Headed Gull/Avian,False,Republic of Georgia,A/black-headed gull/Republic of Georgia/1/2010,H11N1
1642,2009-11-30,USA,Mallard/Avian,False,Illinois,A/mallard/Illinois/4179/2009,H11N9
1643,2010-12-22,USA,Mallard/Avian,False,Missouri,A/mallard/Missouri/10MO0333/2010,H11N9
1644,2010-10-03,USA,Blue-Winged Teal/Avian,False,Wisconsin,A/blue-winged teal/Wisconsin/10OS3092/2010,H3N6
1645,2007-08-03,USA,Blue-Winged Teal/Avian,False,Minnesota,A/blue-winged teal/Minnesota/Sg-00043/2007,H4N6
1646,2010-09-10,Canada,American Black Duck/Avian,False,Nova Scotia,A/American black duck/Nova Scotia/00091/2010,H1N1
1647,2010-04-05,China,Duck/Avian,True,Eastern China,A/duck/Eastern China/L0405/2010,H5N8
1648,2009-01-18,USA,Green-Winged Teal/Avian,False,California,A/green-winged teal/California/1841/2009,H7N3
1649,2008-08-02,USA,Mallard/Avian,True,Minnesota,A/mallard/Minnesota/Sg-00782/2008,H2N3
1650,2009-01-24,USA,Green-Winged Teal/Avian,False,Mississippi,A/American green winged teal/Mississippi/A00468514/2009,H7N7
1651,2010-08-14,USA,Northern Pintail/Avian,True,Interior Alaska,A/northern pintail/Interior Alaska/10BM12603R0/2010,H3N8
1652,2011-10-01,USA,Blue-Winged Teal/Avian,False,Wisconsin,A/blue-winged teal/Wisconsin/11OS3303/2011,H3N2
1653,2011-12-10,USA,American Wigeon/Avian,False,Mississippi,A/American widgeon/Mississippi/11OS6097/2011,H5N3
1654,2007-09-15,USA,Northern Pintail/Avian,True,Interior Alaska,A/northern pintail/Interior Alaska/7MP1067R1/2007,H4N5
1655,2009-08-08,USA,Northern Pintail/Avian,False,Interior Alaska,A/northern pintail/Interior Alaska/9BM7688R0/2009,H10N7
1656,2009-11-29,USA,Ring-Necked Duck/Avian,False,Illinois,A/ring-necked duck/Illinois/4125/2009,H4N8
1657,2008-10-08,USA,Mallard/Avian,False,California,A/mallard/California/7766/2008,H4N6
1658,2011-01-15,USA,American Green-Winged Teal/Avian,False,Mississippi,A/American green-winged teal/Mississippi/11OS256/2011,H1N1
1659,2009-08-16,USA,Northern Pintail/Avian,False,Interior Alaska,A/northern pintail/Interior Alaska/9BM10525R2/2009,H3N1
1660,2011-10-25,,Herring Gull/Avian,False,Iceland,A/herring gull/Iceland/1394/2011,H2N5
1661,2010-05-11,China,Chicken/Avian,False,Shandong,A/chicken/Shandong/Li-2/2010,H9N2
1662,2009-08-18,USA,Mallard/Avian,False,Interior Alaska,A/mallard/Interior Alaska/9BM11381R0/2009,H3N8
1663,2012-04-01,China,Chicken/Avian,False,Shandong,A/chicken/Shandong/zc4/2012,H9N2
1664,2012-01-10,China,Waterfowl/Avian,True,Dongting,A/wild waterfowl/Dongting/C2383/2012,H1N2
1665,2010-10-14,China,Duck/Avian,False,Guangdong,A/duck/Guangdong/S3073/2010,H6N6
1666,2010-12-12,USA,American Green-Winged Teal/Avian,True,Missouri,A/American green-winged teal/Missouri/10OS4622/2010,H12N4
1667,2009-05-20,USA,Shorebird/Avian,False,Delaware,A/shorebird/Delaware/170/2009,H1N1
1668,2011-09-24,USA,Mallard/Avian,False,Wisconsin,A/mallard/Wisconsin/11OS3159/2011,H3N2
1669,2009-03-03,China,Duck/Avian,True,Hunan,A/duck/Hunan/S1012/2009,H4N6
1670,2009-07-27,USA,Mallard/Avian,False,California,A/mallard/California/5205/2009,Mixed
1671,2011-09-24,USA,Duck/Avian,False,Wisconsin,A/wood duck/Wisconsin/11OS2912/2011,H3N6
1672,2010-12-01,China,Chicken/Avian,False,Shandong,A/chicken/Shandong/B1/2010,H9N2
1673,2010-12-01,China,Chicken/Avian,False,Jiangsu,A/chicken/Jiangsu/TS/2010,H9N2
1674,2007-09-15,USA,Blue-Winged Teal/Avian,True,Texas,A/blue-winged teal/Texas/Sg-00074/2007,H4N8
1675,2011-04-13,China,Duck/Avian,False,Shandong,A/wild duck/Shandong/2/2011,H5N1
1676,2011-11-07,Georgia,Garganey/Avian,False,Republic of Georgia,A/garganey/Republic of Georgia/1/2011,H4N2
1677,2010-09-26,USA,American Green-Winged Teal/Avian,True,Wisconsin,A/American green-winged teal/Wisconsin/10OS2767/2010,H6N8
1678,2010-07-18,USA,Mallard/Avian,False,Interior Alaska,A/mallard/Interior Alaska/10BM04624R0/2010,H4N6
1679,2011-12-04,USA,Greater Scaup/Avian,True,Wisconsin,A/greater scaup/Wisconsin/11OS5760/2011,H10N2
1680,2007-09-06,USA,Northern Shoveler/Avian,False,Interior Alaska,A/northern shoveler/Interior Alaska/2/2007,H3N8
1681,2011-02-01,China,Chicken/Avian,False,Sichuan,A/chicken/Sichuan/02/2011,H9N2
1682,2009-11-13,,Mallard/Avian,False,Sweden,A/mallard/Sweden/101799/2009,H4N6
1683,2010-07-25,USA,Northern Shoveler/Avian,False,Interior Alaska,A/northern shoveler/Interior Alaska/10BM05382R0/2010,H3N8
1684,2011-09-24,,Blue-Winged Teal/Avian,False,Canada,A/blue-winged teal/Canada/3286/2011,H3N8
1685,2009-01-23,China,Chicken/Avian,False,Henan,A/chicken/Henan/01/2009,H9N2
1686,2007-08-25,Canada,Mallard/Avian,False,Nova Scotia,A/mallard/Nova Scotia/02320/2007,H4N6
1687,2010-08-01,USA,Northern Pintail/Avian,False,Interior Alaska,A/northern pintail/Interior Alaska/10BM07121R0/2010,H7N3
1688,2007-08-03,USA,Blue-Winged Teal/Avian,True,Minnesota,A/blue-winged teal/Minnesota/Sg-00029/2007,H4N6
1689,2011-12-16,USA,Common Eider/Avian,True,Maine,A/common eider/Maine/505/2011,H12N5
1690,2010-10-15,China,Duck/Avian,False,Guangdong,A/duck/Guangdong/S3468/2010,H6N6
1691,2010-08-02,USA,Northern Pintail/Avian,False,Interior Alaska,A/northern pintail/Interior Alaska/10BM07476R0/2010,H4N6
1692,2008-12-15,China,Duck/Avian,False,Eastern China,A/duck/Eastern China/108/2008,H5N1
1693,2011-08-12,USA,Mallard/Avian,False,California,A/mallard/California/2540P/2011,H3N8
1694,2008-11-18,,Mallard/Avian,False,Sweden,A/mallard/Sweden/80078/2008,H4N6
1695,2009-12-02,China,Chicken/Avian,False,Jiangsu,A/chicken/Jiangsu/925/2009,H9N2
1696,2007-08-05,Canada,American Black Duck/Avian,True,New Brunswick,A/American black duck/New Brunswick/02375/2007,H4N8
1697,2009-07-15,USA,Mallard/Avian,False,Interior Alaska,A/mallard/Interior Alaska/9BM2783R0/2009,H10N7
1698,2008-10-25,USA,Northern Shoveler/Avian,False,California,A/northern shoveler/California/8536/2008,H6N1
1699,2011-09-24,,Blue-Winged Teal/Avian,False,Canada,A/blue-winged teal/Canada/3296/2011,H11N2
1700,2010-08-02,USA,Northern Pintail/Avian,False,Interior Alaska,A/northern pintail/Interior Alaska/10BM07597R0/2010,H3N8
1701,2007-01-24,USA,Northern Shoveler/Avian,True,California,A/northern shoveler/California/27943/2007,H10N7
1702,2008-09-21,USA,Mallard/Avian,False,New Jersey,A/mallard/New Jersey/Sg-00965/2008,H4N6
1703,2009-08-25,USA,Mallard/Avian,False,Ohio,A/mallard/Ohio/1695/2009,H4N6
1704,2009-10-25,USA,Mallard/Avian,False,California,A/mallard/California/6768/2009,H1N1
1705,2011-04-12,China,Duck/Avian,True,Shandong,A/wild duck/Shandong/1/2011,H5N1
1706,2007-08-18,Canada,Blue-Winged Teal/Avian,True,Saskatchewan,A/blue-winged teal/Saskatchewan/22542/2007,H5N2
1707,2009-06-04,USA,Shorebird/Avian,False,Delaware Bay,A/shorebird/Delaware Bay/756/2009,H10N7
1708,2009-09-06,USA,Blue-Winged Teal/Avian,False,Minnesota,A/blue-winged Teal/Minnesota/AI09-2977/2009,H4N8
1709,2009-05-14,USA,Ruddy Turnstone/Avian,False,New Jersey,A/ruddy turnstone/New Jersey/AI09-256/2009,H1N1
1710,2012-11-16,USA,Gadwall/Avian,False,Ohio,A/gadwall/Ohio/12OS2222/2012,H3N8
1711,2007-09-07,USA,Mallard/Avian,True,Interior Alaska,A/mallard/Interior Alaska/7MP0510/2007,H3N6
1712,2009-07-11,USA,Mallard/Avian,False,Interior Alaska,A/mallard/Interior Alaska/9BM2241R1/2009,H4N6
1713,2011-09-24,USA,Mallard/Avian,False,Wisconsin,A/mallard/Wisconsin/11OS3171/2011,H3N2
1714,2010-09-04,USA,Blue-Winged Teal/Avian,False,Illinois,A/blue-winged teal/Illinois/10OS1563/2010,H4N6
1715,2009-10-31,,Mallard/Avian,False,Sweden,A/mallard/Sweden/100760/2009,H11N9
1716,2008-09-09,USA,Mallard/Avian,True,Minnesota,A/mallard/Minnesota/Sg-00981/2008,Mixed
1717,2012-09-07,USA,Blue-Winged Teal/Avian,False,Ohio,A/blue-winged teal/Ohio/12OS2140/2012,H12N5
1718,2010-10-16,USA,Mallard/Avian,False,Iowa,A/mallard/Iowa/10OS2692/2010,H4N2
1719,2011-08-12,USA,Mallard/Avian,False,Ohio,A/mallard/Ohio/11OS1993/2011,H1N1
1720,2011-08-08,USA,Mallard/Avian,False,Ohio,A/mallard/Ohio/11OS1991/2011,H1N1
1721,2009-08-15,USA,Mallard/Avian,False,Interior Alaska,A/mallard/Interior Alaska/9BM10055R0/2009,H3N8
1722,2011-08-12,USA,Mallard/Avian,False,California,A/mallard/California/2571P/2011,H11N2
1723,2007-09-04,Canada,American Black Duck/Avian,True,New Brunswick,A/American black duck/New Brunswick/04484/2007,H3N8
1724,2012-09-29,USA,American Green-Winged Teal/Avian,False,Wisconsin,A/American green-winged teal/Wisconsin/12OS3031/2012,H11N9
1725,2011-08-12,USA,Mallard/Avian,False,Ohio,A/mallard/Ohio/11OS1992/2011,H3N8
1726,2009-02-15,India,Chicken/Avian,False,West Bengal,A/chicken/West Bengal/162642/2009,H5N1
1727,2009-12-06,USA,Mallard/Avian,True,Wisconsin,A/mallard/Wisconsin/4230/2009,H10N1
1728,2009-08-02,USA,Northern Pintail/Avian,False,Interior Alaska,A/northern pintail/Interior Alaska/9BM6094R0/2009,H4N6
1729,2010-07-30,USA,Mallard/Avian,False,Interior Alaska,A/mallard/Interior Alaska/10BM06448R0/2010,H4N6
1730,2007-08-13,USA,Mallard/Avian,True,Interior Alaska,A/mallard/Interior Alaska/7MP0167/2007,H12N5
1731,2008-11-22,USA,Northern Shoveler/Avian,False,California,A/northern shoveler/California/9228/2008,H4N6
1732,2010-08-14,USA,Mallard/Avian,False,Interior Alaska,A/mallard/Interior Alaska/10BM12374R0/2010,H3N8
1733,2008-12-06,USA,Northern Shoveler/Avian,True,Nevada,A/northern shoveler/Nevada/A00505416/2008,H7N6
1734,2009-11-04,China,Duck/Avian,False,Shanghai,A/duck/Shanghai/C163/2009,H9N2
1735,2010-08-16,Canada,American Black Duck/Avian,False,New Brunswick,A/American black duck/New Brunswick/00615/2010,H4N8
1736,2011-10-03,,Duck/Avian,True,Japan,A/duck/Japan/11UO0023/2011,H5N2
1737,2007-01-20,USA,Mallard/Avian,False,Maryland,A/mallard/Maryland/07OS97/2007,H3N8
1738,2009-05-20,USA,Shorebird/Avian,False,Delaware Bay,A/shorebird/Delaware Bay/300/2009,H1N1
1739,2010-11-16,USA,Gadwall/Avian,False,Missouri,A/gadwall/Missouri/10MO095/2010,H6N1
1740,2011-11-13,USA,Northern Shoveler/Avian,False,Illinois,A/northern shoveler/Illinois/11OS5680/2011,H11N9
1741,2009-10-14,USA,Mallard/Avian,False,Michigan,A/mallard/Michigan/A00869519/2009,H7N3
1742,2009-12-13,USA,Northern Shoveler/Avian,False,Oklahoma,A/northern shoveler/Oklahoma/A00744384/2009,H7N3
1743,2010-12-12,USA,Northern Shoveler/Avian,False,Missouri,A/northern shoveler/Missouri/10OS4750/2010,H7N3
1744,2009-08-15,USA,Northern Pintail/Avian,False,Interior Alaska,A/northern pintail/Interior Alaska/9BM9989R0/2009,H4N6
1745,2011-08-15,USA,Green-Winged Teal/Avian,True,Interior Alaska,A/American green-winged teal/Interior Alaska/11BM03165/2011,H2N9
1746,2008-10-08,,Avian,True,Japan,A/avian/Japan/8KI0129/2008,H3N8
1747,2010-08-13,Canada,American Black Duck/Avian,False,New Brunswick,A/American black duck/New Brunswick/00522/2010,H3N8
1748,2007-01-20,USA,Mallard/Avian,False,Maryland,A/mallard/Maryland/07OS55/2007,H10N7
1749,2012-09-09,,Duck/Avian,False,Belgium,A/Anas platyrhynchos/Belgium/24311pcs5/2012,H9N2
1750,2011-08-15,USA,Mallard/Avian,True,Ohio,A/mallard/Ohio/11OS2150/2011,H3N1
1751,2011-11-04,USA,Green-Winged Teal/Avian,False,Wisconsin,A/American green-winged teal/Wisconsin/11OS3592/2011,H4N6
1752,2009-08-14,USA,Mallard/Avian,False,Interior Alaska,A/mallard/Interior Alaska/9BM9755R0/2009,H3N1
1753,2010-03-03,China,Duck/Avian,False,Guizhou,A/duck/Guizhou/S1167/2010,H4N6
1754,2009-03-10,,Chicken/Avian,False,India,A/chicken/India/WB-NIV92456/2009,H5N1
1755,2009-01-15,USA,Northern Shoveler/Avian,False,Mississippi,A/northern shoveler/Mississippi/09OS643/2009,H7N7
1756,2012-08-17,USA,Mallard/Avian,False,California,A/mallard/California/3332/2012,H4N6
1757,2011-08-12,USA,Mallard/Avian,False,California,A/mallard/California/2566P/2011,H4N8
1758,2007-09-16,USA,Blue-Winged Teal/Avian,False,Texas,A/blue-winged teal/Texas/Sg-00076/2007,H4N6
1759,2010-08-07,USA,Northern Pintail/Avian,False,Interior Alaska,A/northern pintail/Interior Alaska/10BM09832R0/2010,H7N3
1760,2010-05-19,Canada,Ring-Billed Gull/Avian,False,Quebec,A/ring-billed gull/Quebec/G192/2010,H1N3
1761,2009-07-29,USA,Northern Shoveler/Avian,False,Interior Alaska,A/northern shoveler/Interior Alaska/9BM4905R0/2009,H4N6
1762,2009-05-20,USA,Shorebird/Avian,False,Delaware Bay,A/shorebird/Delaware Bay/271/2009,H10N7
1763,2008-09-30,Egypt,Chicken/Avian,False,Giza,A/chicken/Giza/CAI24/2008,H5N1
1764,2008-08-13,USA,Northern Pintail/Avian,True,Interior Alaska,A/northern pintail/Interior Alaska/8MP0689/2008,H8N4
1765,2009-08-08,Canada,Ring-Necked Duck/Avian,False,Nova Scotia,A/ring-necked duck/Nova Scotia/03378/2009,H3N8
1766,2009-12-09,China,Duck/Avian,False,Hunan,A/duck/Hunan/S4280/2009,H10N8
1767,2012-03-07,Viet Nam,Mallard/Avian,False,Vietnam,A/duck/Vietnam/LBM140/2012,H5N1
1768,2011-06-03,China,Duck/Avian,False,Jiangsu,A/duck/Jiangsu/S2447/2011,H4N6
1769,2012-08-24,USA,Mallard/Avian,False,California,A/mallard/California/3471/2012,H4N6
1770,2010-08-03,USA,Mallard/Avian,False,Interior Alaska,A/mallard/Interior Alaska/10BM07971R0/2010,H4N6
1771,2012-07-16,USA,Mallard/Avian,False,California,A/mallard/California/2829/2012,H2N3
