,Host Species,Strain Name
490,Dove,A/Rock Pigeon/Vietnam/6/2009
491,Dove,A/Rock Pigeon/Vietnam/6/2009
492,Dove,A/Rock Pigeon/Vietnam/6/2009
493,Dove,A/Rock Pigeon/Vietnam/6/2009
494,Dove,A/Rock Pigeon/Vietnam/6/2009
495,Dove,A/Rock Pigeon/Vietnam/6/2009
496,Dove,A/Rock Pigeon/Vietnam/6/2009
497,Dove,A/Rock Pigeon/Vietnam/6/2009
498,Silky Chicken,A/silkie chicken/Hong Kong/FY49W/2007
499,Silky Chicken,A/silkie chicken/Hong Kong/FY49W/2007
500,Silky Chicken,A/silkie chicken/Hong Kong/FY49W/2007
501,Silky Chicken,A/silkie chicken/Hong Kong/FY49W/2007
502,Silky Chicken,A/silkie chicken/Hong Kong/FY49W/2007
503,Silky Chicken,A/silkie chicken/Hong Kong/FY49W/2007
504,Silky Chicken,A/silkie chicken/Hong Kong/FY49W/2007
505,Silky Chicken,A/silkie chicken/Hong Kong/HH137/2008
506,Silky Chicken,A/silkie chicken/Hong Kong/HH137/2008
507,Silky Chicken,A/silkie chicken/Hong Kong/HH137/2008
508,Silky Chicken,A/silkie chicken/Hong Kong/HH137/2008
509,Silky Chicken,A/silkie chicken/Hong Kong/HH137/2008
510,Silky Chicken,A/silkie chicken/Hong Kong/HH137/2008
511,Silky Chicken,A/silkie chicken/Hong Kong/HH137/2008
512,Silky Chicken,A/silkie chicken/Hong Kong/NT382/2007
513,Silky Chicken,A/silkie chicken/Hong Kong/NT382/2007
514,Silky Chicken,A/silkie chicken/Hong Kong/NT382/2007
515,Silky Chicken,A/silkie chicken/Hong Kong/NT382/2007
516,Silky Chicken,A/silkie chicken/Hong Kong/NT382/2007
517,Silky Chicken,A/silkie chicken/Hong Kong/NT382/2007
518,Silky Chicken,A/silkie chicken/Hong Kong/NT382/2007
519,Silky Chicken,A/silkie chicken/Hong Kong/NT382/2007
520,Silky Chicken,A/silkie chicken/Hong Kong/YU335/2007
521,Silky Chicken,A/silkie chicken/Hong Kong/YU335/2007
522,Silky Chicken,A/silkie chicken/Hong Kong/YU335/2007
523,Silky Chicken,A/silkie chicken/Hong Kong/YU335/2007
524,Silky Chicken,A/silkie chicken/Hong Kong/YU335/2007
525,Silky Chicken,A/silkie chicken/Hong Kong/YU335/2007
526,Silky Chicken,A/silkie chicken/Hong Kong/YU335/2007
527,Silky Chicken,A/silkie chicken/Hong Kong/YU595W/2011
528,Silky Chicken,A/silkie chicken/Hong Kong/YU595W/2011
529,Silky Chicken,A/silkie chicken/Hong Kong/YU595W/2011
530,Silky Chicken,A/silkie chicken/Hong Kong/YU595W/2011
531,Silky Chicken,A/silkie chicken/Hong Kong/YU595W/2011
532,Silky Chicken,A/silkie chicken/Hong Kong/YU595W/2011
533,Silky Chicken,A/silkie chicken/Hong Kong/YU595W/2011
534,Silky Chicken,A/silkie chicken/Hong Kong/YU595W/2011
535,Shelduck,A/Tadorna tadorna/Belgium/3441-P3/2009
536,Shelduck,A/Tadorna tadorna/Belgium/3441-P3/2009
537,Shelduck,A/Tadorna tadorna/Belgium/3441-P3/2009
538,Shelduck,A/Tadorna tadorna/Belgium/3441-P3/2009
539,Shelduck,A/Tadorna tadorna/Belgium/3441-P3/2009
540,Shelduck,A/Tadorna tadorna/Belgium/3441-P3/2009
541,Shelduck,A/Tadorna tadorna/Belgium/3441-P3/2009
542,Shelduck,A/Tadorna tadorna/Belgium/3441-P3/2009
543,Waterfowl,A/water fowl/Nigeria/08RS848-66/2007
544,Waterfowl,A/water fowl/Nigeria/08RS848-66/2007
545,White-Rumped Munia,A/white-backed munia/Hong Kong/4519/2009
546,White-Rumped Munia,A/white-backed munia/Hong Kong/4519/2009
547,White-Rumped Munia,A/white-backed munia/Hong Kong/828/2007
548,White-Rumped Munia,A/white-backed munia/Hong Kong/828/2007
549,Kelp Gull,A/wild bird/Chile/1805/2008
550,Kelp Gull,A/wild bird/Chile/1805/2008
551,Kelp Gull,A/wild bird/Chile/1805/2008
552,Kelp Gull,A/wild bird/Chile/1805/2008
553,Kelp Gull,A/wild bird/Chile/1805/2008
554,Kelp Gull,A/wild bird/Chile/1805/2008
555,Kelp Gull,A/wild bird/Chile/1805/2008
556,Kelp Gull,A/wild bird/Chile/1805/2008
557,Sandpiper,A/willet/Peru-CH49/2010
558,Parrot,A/yellow-headed Amazon/California/500658/2007
559,Parrot,A/yellow-headed Amazon/California/500658/2007
560,Parrot,A/yellow-headed Amazon/California/500658/2007
561,Parrot,A/yellow-headed Amazon/California/500658/2007
562,Parrot,A/yellow-headed Amazon/California/500658/2007
563,Parrot,A/yellow-headed Amazon/California/500658/2007
564,Parrot,A/yellow-headed Amazon/California/500658/2007
565,Parrot,A/yellow-headed Amazon/California/500658/2007
